央视频道,#genre#
贵州卫视,http://60.18.216.116:9527/rtp/232.0.0.87:8584		 
海南卫视,http://60.18.216.116:9527/rtp/232.0.0.71:8586		 
河北卫视,http://60.18.216.116:9527/rtp/232.0.0.49:8500		 
河南卫视,http://60.18.216.116:9527/rtp/232.0.0.80:8570		 
湖北卫视,http://60.18.216.116:9527/rtp/232.0.0.83:8562		 
吉林卫视,http://60.18.216.116:9527/rtp/232.0.0.84:8574	 
江西卫视,http://60.18.216.116:9527/rtp/232.0.0.82:8564		 
辽宁卫视,http://60.18.216.116:9527/rtp/232.0.0.16:8528		 
宁夏卫视,http://60.18.216.116:9527/rtp/232.0.0.34:8644		 
青海卫视,http://60.18.216.116:9527/rtp/232.0.0.101:8588		 
厦门卫视,http://60.18.216.116:9527/rtp/232.0.0.183:9184		 
山东卫视,http://60.18.216.116:9527/rtp/232.0.0.78:8554		 
山东教育卫视,http://60.18.216.116:9527/rtp/232.0.0.200:9218		 
山西卫视,http://60.18.216.116:9527/rtp/232.0.0.86:8558	 
陕西卫视,http://60.18.216.116:9527/rtp/232.0.0.35:8590		 
四川卫视,http://60.18.216.116:9527/rtp/232.0.0.77:8568		 
天津卫视,http://60.18.216.116:9527/rtp/232.0.0.81:8572		 
西藏卫视,http://60.18.216.116:9527/rtp/232.0.0.114:8844		 
新疆卫视,http://60.18.216.116:9527/rtp/232.0.0.18:8722		 
兵团卫视,http://60.18.216.116:9527/rtp/232.0.0.67:8640		 
延边卫视,http://60.18.216.116:9527/rtp/232.0.0.184:9186		 
云南卫视,http://60.18.216.116:9527/rtp/232.0.0.40:8598		 
浙江卫视,http://60.18.216.116:9527/rtp/232.0.0.70:8552		 
重庆卫视,http://60.18.216.116:9527/rtp/232.0.0.75:8566		 
黑龙江卫视,http://60.18.216.116:9527/rtp/232.0.0.85:8576		 
内蒙古卫视,http://60.18.216.116:9527/rtp/232.0.0.111:8718		 
高清频道,#genre#
SiTV欢笑剧场-4k,http://60.18.216.116:9527/rtp/232.0.0.150:9160		 
数字频道,#genre#
NewTV央广购物,http://60.18.216.116:9527/rtp/232.0.0.229:9284		 
聚鲨环球精选,http://60.18.216.116:9527/rtp/232.0.0.193:9204		 
广东地区,#genre#
广东卫视,http://60.18.216.116:9527/rtp/232.0.0.72:8580	 
广东嘉佳卡通,http://60.18.216.116:9527/rtp/232.0.0.180:9178	 
深圳卫视,http://60.18.216.116:9527/rtp/232.0.0.106:8592		 
动漫乐园,#genre#
北京卡酷少儿,http://60.18.216.116:9527/rtp/232.0.0.57:8682		 
文体频道,#genre#
CCTV-5体育,http://60.18.216.116:9527/rtp/232.0.0.164:9332		 
CCTV-5体育,http://60.18.216.116:9527/rtp/232.0.0.196:9210		 
CCTV-5体育,http://60.18.216.116:9527/rtp/232.0.0.93:8750		 
CCTV-5体育,http://60.18.216.116:9527/rtp/232.0.0.92:8502	 
CCTV-16奥林匹克,http://60.18.216.116:9527/rtp/232.0.0.36:8694		 
辽宁体育,http://60.18.216.116:9527/rtp/232.0.0.3:8540		 
北京地区,#genre#
北京卫视,http://60.18.216.116:9527/rtp/232.0.0.68:8548		 
北京卡酷少儿,http://60.18.216.116:9527/rtp/232.0.0.57:8682		 
上海地区,#genre#
东方卫视,http://60.18.216.116:9527/rtp/232.0.0.17:8546		 
上海炫动卡通,http://60.18.216.116:9527/rtp/232.0.0.103:8636		 
动漫秀场频道,http://60.18.216.116:9527/rtp/232.0.0.140:9304		 
法治天地,http://60.18.216.116:9527/rtp/232.0.0.142:9308		 
金色学堂,http://60.18.216.116:9527/rtp/232.0.0.141:9306		 
都市剧场,http://60.18.216.116:9527/rtp/232.0.0.143:9310		 
上海生活时尚频道,http://60.18.216.116:9527/rtp/232.0.0.125:9296		 
湖南地区,#genre#
湖南卫视,http://60.18.216.116:9527/rtp/232.0.0.69:8560		 
湖南金鹰卡通,http://60.18.216.116:9527/rtp/232.0.0.181:9180		 
湖南金鹰纪实频道,http://60.18.216.116:9527/rtp/232.0.0.186:9190		 
浙江地区,#genre#
浙江卫视,http://60.18.216.116:9527/rtp/232.0.0.70:8552		 
江苏地区,#genre#
江苏卫视,http://60.18.216.116:9527/rtp/232.0.0.79:8550		 
江苏优漫卡通,http://60.18.216.116:9527/rtp/232.0.0.182:9182	 
安徽地区,#genre#
安徽卫视,http://60.18.216.116:9527/rtp/232.0.0.73:8556		 
河南地区,#genre#
河南卫视,http://60.18.216.116:9527/rtp/232.0.0.80:8570		 
湖北地区,#genre#
湖北卫视,http://60.18.216.116:9527/rtp/232.0.0.83:8562		 
山东地区,#genre#
山东卫视,http://60.18.216.116:9527/rtp/232.0.0.78:8554		 
山东教育卫视,http://60.18.216.116:9527/rtp/232.0.0.200:9218		 
四川地区,#genre#
四川卫视,http://60.18.216.116:9527/rtp/232.0.0.77:8568		 
云南地区,#genre#
云南卫视,http://60.18.216.116:9527/rtp/232.0.0.40:8598		 
江西地区,#genre#
江西卫视,http://60.18.216.116:9527/rtp/232.0.0.82:8564		 
辽宁地区,#genre#
辽宁卫视,http://60.18.216.116:9527/rtp/232.0.0.16:8528		 
辽宁教育青少频道,http://60.18.216.116:9527/rtp/232.0.0.99:8536		 
辽宁体育,http://60.18.216.116:9527/rtp/232.0.0.3:8540		 
辽宁都市,http://60.18.216.116:9527/rtp/232.0.0.88:8890		 
辽宁北方频道,http://60.18.216.116:9527/rtp/232.0.0.55:8542		 
辽宁家庭理财频道,http://60.18.216.116:9527/rtp/232.0.0.19:8688		 
辽宁生活,http://60.18.216.116:9527/rtp/232.0.0.96:8538		 
新动漫频道,http://60.18.216.116:9527/rtp/232.0.0.65:8634		 
辽宁影视娱乐,http://60.18.216.116:9527/rtp/232.0.0.97:8534		 
辽宁公共,http://60.18.216.116:9527/rtp/232.0.0.226:9274		 
辽宁公共,http://60.18.216.116:9527/rtp/232.0.0.156:9322	 
辽宁经济,http://60.18.216.116:9527/rtp/232.0.0.225:9272		 
辽宁经济,http://60.18.216.116:9527/rtp/232.0.0.155:9320	 
福建地区,#genre#
东南卫视,http://60.18.216.116:9527/rtp/232.0.0.74:8578		 
厦门卫视,http://60.18.216.116:9527/rtp/232.0.0.183:9184		 
重庆地区,#genre#
重庆卫视,http://60.18.216.116:9527/rtp/232.0.0.75:8566		 
河北地区,#genre#
河北卫视,http://60.18.216.116:9527/rtp/232.0.0.49:8500		 
天津地区,#genre#
天津卫视,http://60.18.216.116:9527/rtp/232.0.0.81:8572		 
陕西地区,#genre#
陕西卫视,http://60.18.216.116:9527/rtp/232.0.0.35:8590		 
贵州地区,#genre#
贵州卫视,http://60.18.216.116:9527/rtp/232.0.0.87:8584		 
家有购物,http://60.18.216.116:9527/rtp/232.0.0.109:8702		 
山西地区,#genre#
山西卫视,http://60.18.216.116:9527/rtp/232.0.0.86:8558	 
广西地区,#genre#
广西卫视,http://60.18.216.116:9527/rtp/232.0.0.76:8582		 
吉林地区,#genre#
吉林卫视,http://60.18.216.116:9527/rtp/232.0.0.84:8574	 
延边卫视,http://60.18.216.116:9527/rtp/232.0.0.184:9186		 
甘肃地区,#genre#
甘肃卫视,http://60.18.216.116:9527/rtp/232.0.0.50:8642		 
海南地区,#genre#
